"month","age","type_pill","thrombosis","users"
5,38,3,0,15399
6,38,3,4,13477
7,38,3,1,10603
8,38,3,0,10553
9,38,3,0,9820
10,38,3,1,9232
11,38,3,0,9188
12,38,3,0,8124
1,39,2,7,68320
2,39,2,11,66215
3,39,2,2,61618
4,39,2,5,48738
5,39,2,2,48443
6,39,2,4,42825
7,39,2,5,34253
8,39,2,4,34034
9,39,2,0,30874
10,39,2,4,28289
11,39,2,1,28134
12,39,2,1,25020
1,39,3,0,17371
2,39,3,2,16952
3,39,3,2,16358
4,39,3,3,14519
5,39,3,1,14455
6,39,3,1,12713
7,39,3,1,10123
8,39,3,1,10071
9,39,3,0,9341
10,39,3,1,8785
11,39,3,0,8742
12,39,3,0,7798
1,40,2,7,67035
2,40,2,5,64940
3,40,2,5,60441
4,40,2,4,47881
5,40,2,3,47585
6,40,2,10,42181
7,40,2,3,33914
8,40,2,5,33686
9,40,2,4,30600
10,40,2,1,28125
11,40,2,1,27992
12,40,2,4,24944
1,40,3,0,16053
2,40,3,3,15680
3,40,3,0,15133
4,40,3,0,13442
5,40,3,1,13382
6,40,3,1,11782
7,40,3,3,9393
8,40,3,1,9342
9,40,3,0,8615
10,40,3,1,8069
11,40,3,2,8035
12,40,3,0,7197
1,41,2,5,63465
2,41,2,8,61650
3,41,2,7,57452
4,41,2,3,45337
5,41,2,9,45086
6,41,2,7,40059
7,41,2,0,32378
8,41,2,3,32162
9,41,2,1,29230
10,41,2,6,26858
11,41,2,3,26738
12,41,2,0,23909
1,41,3,3,14498
2,41,3,4,14182
3,41,3,0,13670
4,41,3,0,12148
5,41,3,1,12105
6,41,3,2,10713
7,41,3,1,8626
8,41,3,1,8584
9,41,3,0,7911
10,41,3,1,7406
11,41,3,1,7372
12,41,3,0,6642
1,42,2,10,61903
2,42,2,9,60368
3,42,2,8,56390
4,42,2,3,44485
5,42,2,6,44220
6,42,2,3,39377
7,42,2,6,31970
8,42,2,2,31767
9,42,2,3,28835
10,42,2,1,26467
11,42,2,4,26348
12,42,2,3,23589
1,42,3,5,13237
2,42,3,2,12972
3,42,3,2,12496
4,42,3,3,11016
5,42,3,1,10964
6,42,3,1,9747
7,42,3,1,7935
8,42,3,2,7904
9,42,3,0,7246
10,42,3,0,6749
11,42,3,2,6715
12,42,3,1,6036
1,43,2,3,60011
2,43,2,6,58665
3,43,2,4,54820
4,43,2,9,43127
5,43,2,6,42871
6,43,2,6,38190
7,43,2,6,30996
8,43,2,4,30808
9,43,2,4,27917
10,43,2,1,25620
11,43,2,2,25508
12,43,2,1,22813
1,43,3,2,12380
2,43,3,3,12181
3,43,3,0,11757
4,43,3,1,10474
5,43,3,1,10437
6,43,3,3,9264
7,43,3,4,7511
8,43,3,2,7479
9,43,3,2,6850
10,43,3,0,6376
11,43,3,0,6351
12,43,3,1,5744
1,44,2,5,58088
2,44,2,10,56861
3,44,2,9,53192
4,44,2,3,41864
5,44,2,6,41641
6,44,2,3,37114
7,44,2,3,30136
8,44,2,2,29957
9,44,2,2,27094
10,44,2,3,24802
11,44,2,3,24685
12,44,2,2,22144
1,44,3,3,11362
2,44,3,2,11181
3,44,3,1,10791
4,44,3,0,9570
5,44,3,3,9530
6,44,3,2,8457
7,44,3,1,6850
8,44,3,1,6823
9,44,3,0,6244
10,44,3,0,5811
11,44,3,2,5785
12,44,3,1,5227
1,45,2,7,56564
2,45,2,13,55354
3,45,2,10,51729
4,45,2,8,40588
5,45,2,6,40367
6,45,2,3,36083
7,45,2,6,29545
8,45,2,8,29358
9,45,2,6,26551
10,45,2,2,24326
11,45,2,2,24227
12,45,2,3,21709
1,45,3,0,10120
2,45,3,1,9959
3,45,3,5,9620
4,45,3,4,8571
5,45,3,2,8537
6,45,3,1,7623
7,45,3,1,6253
8,45,3,1,6225
9,45,3,1,5704
10,45,3,3,5319
11,45,3,1,5300
12,45,3,0,4796
1,46,2,10,52331
2,46,2,10,51228
3,46,2,12,47924
4,46,2,10,37833
5,46,2,5,37621
6,46,2,2,33604
7,46,2,6,27412
8,46,2,8,27250
9,46,2,6,24675
10,46,2,4,22650
11,46,2,3,22550
12,46,2,4,20187
1,46,3,1,9181
2,46,3,2,9032
3,46,3,5,8743
4,46,3,4,7834
5,46,3,4,7803
6,46,3,1,6983
7,46,3,1,5762
8,46,3,2,5738
9,46,3,1,5265
10,46,3,1,4911
11,46,3,2,4892
12,46,3,1,4426
1,47,2,8,48947
2,47,2,20,47850
3,47,2,9,44697
4,47,2,8,35198
5,47,2,3,35005
6,47,2,5,31311
7,47,2,5,25650
8,47,2,5,25515
9,47,2,4,22998
10,47,2,3,21033
11,47,2,4,20941
12,47,2,5,18685
1,47,3,0,8149
2,47,3,2,8012
3,47,3,6,7754
4,47,3,1,7002
5,47,3,2,6979
6,47,3,0,6217
7,47,3,2,5074
8,47,3,2,5052
9,47,3,1,4654
10,47,3,1,4356
11,47,3,0,4338
12,47,3,1,3907
1,48,2,13,44800
2,48,2,13,43811
3,48,2,10,41035
4,48,2,7,32471
5,48,2,7,32304
6,48,2,8,28928
7,48,2,3,23690
8,48,2,4,23553
9,48,2,5,21287
10,48,2,4,19509
11,48,2,0,19436
12,48,2,5,17361
1,48,3,2,7207
2,48,3,0,7099
3,48,3,1,6874
4,48,3,2,6201
5,48,3,1,6171
6,48,3,3,5481
7,48,3,1,4464
8,48,3,2,4449
9,48,3,0,4104
10,48,3,1,3854
11,48,3,1,3841
12,48,3,2,3457
